miRNA,mRNA,PCC.cor,p_value,adjusted_p_value,score,energy,query_start_end,subject_start_end,total_bp_shared,query_similar,subject_similar,moduleColor,hpf_1,hpf_4,hpf_9,hpf_14,hpf_22,hpf_28,hpf_48,hpf_72,hpf_1.1,hpf_4.1,hpf_9.1,hpf_14.1,hpf_22.1,hpf_28.1,hpf_48.1,hpf_72.1,category,timepoint,count,mean,sd,se,mirna_zscore,mrna_mean_zscore,mrna_sd_zscore,mrna_se_zscore
Montipora_capitata_HIv3___Scaffold_14_1007097,Montipora_capitata_HIv3___TS.g13270.t1,0.7879738682,0.02020051704,0.132913621,149,-22.28,2 14,156 173,12,83.33%,83.33%,lightgreen,0.2125466266,0.4493601875,0.3381144247,0.3342952548,-0.1364697709,-0.2479682786,-0.4117724764,-0.5144469715,0.2594709007,0.01273305297,0.06762712785,0.07098775066,0.4720859305,0.1864303579,0.02376562744,0.00363185979,Maternal,1_hpf,32615.03,7.217873179,0.205319787,0.1026598935,0.2394322113,-0.4517630868,-0.5130914573,-0.5130914573
Montipora_capitata_HIv3___Scaffold_14_1007097,Montipora_capitata_HIv3___TS.g13270.t1,0.7879738682,0.02020051704,0.132913621,149,-22.28,2 14,156 173,12,83.33%,83.33%,lightgreen,0.2125466266,0.4493601875,0.3381144247,0.3342952548,-0.1364697709,-0.2479682786,-0.4117724764,-0.5144469715,0.2594709007,0.01273305297,0.06762712785,0.07098775066,0.4720859305,0.1864303579,0.02376562744,0.00363185979,Maternal,4_hpf,20076.15,7.585142661,0.4627081486,0.2313540743,-0.03478724032,-0.265320822,0.438281036,0.438281036
Montipora_capitata_HIv3___Scaffold_14_1007097,Montipora_capitata_HIv3___TS.g13270.t1,0.7879738682,0.02020051704,0.132913621,149,-22.28,2 14,156 173,12,83.33%,83.33%,lightgreen,0.2125466266,0.4493601875,0.3381144247,0.3342952548,-0.1364697709,-0.2479682786,-0.4117724764,-0.5144469715,0.2594709007,0.01273305297,0.06762712785,0.07098775066,0.4720859305,0.1864303579,0.02376562744,0.00363185979,Maternal,9_hpf,21432.05,7.457582507,0.1395254642,0.06976273208,-0.005134340342,-0.3300760092,-0.7562839178,-0.7562839178
Montipora_capitata_HIv3___Scaffold_14_1007097,Montipora_capitata_HIv3___TS.g13270.t1,0.7879738682,0.02020051704,0.132913621,149,-22.28,2 14,156 173,12,83.33%,83.33%,lightgreen,0.2125466266,0.4493601875,0.3381144247,0.3342952548,-0.1364697709,-0.2479682786,-0.4117724764,-0.5144469715,0.2594709007,0.01273305297,0.06762712785,0.07098775066,0.4720859305,0.1864303579,0.02376562744,0.00363185979,Maternal,14_hpf,14430.51,7.453492725,0.1768793974,0.08843969868,-0.1582547514,-0.3321521636,-0.6182143316,-0.6182143316
Montipora_capitata_HIv3___Scaffold_14_1007097,Montipora_capitata_HIv3___TS.g13270.t1,0.7879738682,0.02020051704,0.132913621,149,-22.28,2 14,156 173,12,83.33%,83.33%,lightgreen,0.2125466266,0.4493601875,0.3381144247,0.3342952548,-0.1364697709,-0.2479682786,-0.4117724764,-0.5144469715,0.2594709007,0.01273305297,0.06762712785,0.07098775066,0.4720859305,0.1864303579,0.02376562744,0.00363185979,Maternal,22_hpf,15613.27,6.477872068,0.4050051173,0.2025025587,-0.1323883424,-0.8274204443,0.224996036,0.224996036
Montipora_capitata_HIv3___Scaffold_14_1007097,Montipora_capitata_HIv3___TS.g13270.t1,0.7879738682,0.02020051704,0.132913621,149,-22.28,2 14,156 173,12,83.33%,83.33%,lightgreen,0.2125466266,0.4493601875,0.3381144247,0.3342952548,-0.1364697709,-0.2479682786,-0.4117724764,-0.5144469715,0.2594709007,0.01273305297,0.06762712785,0.07098775066,0.4720859305,0.1864303579,0.02376562744,0.00363185979,Maternal,28_hpf,7470.34,6.314296332,0.544917584,0.272458792,-0.3104704198,-0.910458737,0.7421479049,0.7421479049
Montipora_capitata_HIv3___Scaffold_14_1007097,Montipora_capitata_HIv3___TS.g13270.t1,0.7879738682,0.02020051704,0.132913621,149,-22.28,2 14,156 173,12,83.33%,83.33%,lightgreen,0.2125466266,0.4493601875,0.3381144247,0.3342952548,-0.1364697709,-0.2479682786,-0.4117724764,-0.5144469715,0.2594709007,0.01273305297,0.06762712785,0.07098775066,0.4720859305,0.1864303579,0.02376562744,0.00363185979,Maternal,48_hpf,5847.95,5.775876911,0.7913756914,0.3956878457,-0.3459513317,-1.183784295,1.653119414,1.653119414
Montipora_capitata_HIv3___Scaffold_14_1007097,Montipora_capitata_HIv3___TS.g13270.t1,0.7879738682,0.02020051704,0.132913621,149,-22.28,2 14,156 173,12,83.33%,83.33%,lightgreen,0.2125466266,0.4493601875,0.3381144247,0.3342952548,-0.1364697709,-0.2479682786,-0.4117724764,-0.5144469715,0.2594709007,0.01273305297,0.06762712785,0.07098775066,0.4720859305,0.1864303579,0.02376562744,0.00363185979,Maternal,72_hpf,2408.48,5.530728557,0.4235443309,0.2117721654,-0.4211709348,-1.308232464,0.2935216589,0.2935216589
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___TS.g22268.t4,-0.712590712,0.04729443814,0.1948705601,160,-22.92,2 23,762 791,27,66.67%,74.07%,midnightblue,0.3319529757,0.3725233348,0.1136935317,-0.3929803998,-0.2092944263,-0.2984806016,-0.06679435007,0.1580782828,0.07311192164,0.04262910705,0.5497001508,0.03169314723,0.2670026039,0.1091238693,0.7258177003,0.4041094704,Maternal,1_hpf,1164.82,7.538263909,0.07368465553,0.03684232777,-0.4483691984,-0.2891185542,-0.9996482015,-0.9996482015
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___TS.g22268.t4,-0.712590712,0.04729443814,0.1948705601,160,-22.92,2 23,762 791,27,66.67%,74.07%,midnightblue,0.3319529757,0.3725233348,0.1136935317,-0.3929803998,-0.2092944263,-0.2984806016,-0.06679435007,0.1580782828,0.07311192164,0.04262910705,0.5497001508,0.03169314723,0.2670026039,0.1091238693,0.7258177003,0.4041094704,Maternal,4_hpf,1384.56,7.488177572,0.5208108175,0.2604054088,-0.4435635872,-0.3145445982,0.653043198,0.653043198
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___TS.g22268.t4,-0.712590712,0.04729443814,0.1948705601,160,-22.92,2 23,762 791,27,66.67%,74.07%,midnightblue,0.3319529757,0.3725233348,0.1136935317,-0.3929803998,-0.2092944263,-0.2984806016,-0.06679435007,0.1580782828,0.07311192164,0.04262910705,0.5497001508,0.03169314723,0.2670026039,0.1091238693,0.7258177003,0.4041094704,Maternal,9_hpf,1217.73,7.209841811,0.2091411161,0.104570558,-0.4472120814,-0.4558401653,-0.4989668583,-0.4989668583
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___TS.g22268.t4,-0.712590712,0.04729443814,0.1948705601,160,-22.92,2 23,762 791,27,66.67%,74.07%,midnightblue,0.3319529757,0.3725233348,0.1136935317,-0.3929803998,-0.2092944263,-0.2984806016,-0.06679435007,0.1580782828,0.07311192164,0.04262910705,0.5497001508,0.03169314723,0.2670026039,0.1091238693,0.7258177003,0.4041094704,Maternal,14_hpf,5497.34,6.348447097,0.2090386246,0.1045193123,-0.3536190087,-0.8931222952,-0.4993456927,-0.4993456927
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___TS.g22268.t4,-0.712590712,0.04729443814,0.1948705601,160,-22.92,2 23,762 791,27,66.67%,74.07%,midnightblue,0.3319529757,0.3725233348,0.1136935317,-0.3929803998,-0.2092944263,-0.2984806016,-0.06679435007,0.1580782828,0.07311192164,0.04262910705,0.5497001508,0.03169314723,0.2670026039,0.1091238693,0.7258177003,0.4041094704,Maternal,22_hpf,7356.25,6.566531958,1.210975037,0.6054875185,-0.3129655148,-0.782412755,3.204064737,3.204064737
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___TS.g22268.t4,-0.712590712,0.04729443814,0.1948705601,160,-22.92,2 23,762 791,27,66.67%,74.07%,midnightblue,0.3319529757,0.3725233348,0.1136935317,-0.3929803998,-0.2092944263,-0.2984806016,-0.06679435007,0.1580782828,0.07311192164,0.04262910705,0.5497001508,0.03169314723,0.2670026039,0.1091238693,0.7258177003,0.4041094704,Maternal,28_hpf,8642.16,6.515860178,0.7382822981,0.3691411491,-0.2848432635,-0.8081359963,1.456872802,1.456872802
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___TS.g22268.t4,-0.712590712,0.04729443814,0.1948705601,160,-22.92,2 23,762 791,27,66.67%,74.07%,midnightblue,0.3319529757,0.3725233348,0.1136935317,-0.3929803998,-0.2092944263,-0.2984806016,-0.06679435007,0.1580782828,0.07311192164,0.04262910705,0.5497001508,0.03169314723,0.2670026039,0.1091238693,0.7258177003,0.4041094704,Maternal,48_hpf,7442.85,6.920906731,0.1688008753,0.08440043767,-0.3110716133,-0.602516416,-0.6480745926,-0.6480745926
Montipora_capitata_HIv3___Scaffold_7_451889,Montipora_capitata_HIv3___TS.g22268.t4,-0.712590712,0.04729443814,0.1948705601,160,-22.92,2 23,762 791,27,66.67%,74.07%,midnightblue,0.3319529757,0.3725233348,0.1136935317,-0.3929803998,-0.2092944263,-0.2984806016,-0.06679435007,0.1580782828,0.07311192164,0.04262910705,0.5497001508,0.03169314723,0.2670026039,0.1091238693,0.7258177003,0.4041094704,Maternal,72_hpf,7064.87,7.272633092,0.2811368791,0.1405684395,-0.3193378594,-0.4239645284,-0.2328523064,-0.2328523064
Montipora_capitata_HIv3___Scaffold_10_659884,Montipora_capitata_HIv3___RNAseq.g6847.t1,-0.7361247472,0.03732327294,0.1745406969,159,-21.44,2 20,770 793,18,72.22%,77.78%,yellow,0.1374886095,0.488284902,0.4280313654,0.3383010198,-0.4858259782,-0.2276546629,-0.38862127,-0.259385825,0.4687531512,0.006189453208,0.01829251436,0.06746616321,0.006493948156,0.2263181063,0.03380854637,0.166306102,Maternal,1_hpf,10483.4,10.19658072,0.1600789857,0.08003949286,-0.2445762043,1.060360865,-0.6803129029,-0.6803129029
Montipora_capitata_HIv3___Scaffold_10_659884,Montipora_capitata_HIv3___RNAseq.g6847.t1,-0.7361247472,0.03732327294,0.1745406969,159,-21.44,2 20,770 793,18,72.22%,77.78%,yellow,0.1374886095,0.488284902,0.4280313654,0.3383010198,-0.4858259782,-0.2276546629,-0.38862127,-0.259385825,0.4687531512,0.006189453208,0.01829251436,0.06746616321,0.006493948156,0.2263181063,0.03380854637,0.166306102,Maternal,4_hpf,6922.81,10.57308445,0.446420599,0.2232102995,-0.3224446453,1.251490841,0.3780781328,0.3780781328
Montipora_capitata_HIv3___Scaffold_10_659884,Montipora_capitata_HIv3___RNAseq.g6847.t1,-0.7361247472,0.03732327294,0.1745406969,159,-21.44,2 20,770 793,18,72.22%,77.78%,yellow,0.1374886095,0.488284902,0.4280313654,0.3383010198,-0.4858259782,-0.2276546629,-0.38862127,-0.259385825,0.4687531512,0.006189453208,0.01829251436,0.06746616321,0.006493948156,0.2263181063,0.03380854637,0.166306102,Maternal,9_hpf,5358.01,10.59011141,0.2158191565,0.1079095783,-0.3566660907,1.26013448,-0.4742831316,-0.4742831316
Montipora_capitata_HIv3___Scaffold_10_659884,Montipora_capitata_HIv3___RNAseq.g6847.t1,-0.7361247472,0.03732327294,0.1745406969,159,-21.44,2 20,770 793,18,72.22%,77.78%,yellow,0.1374886095,0.488284902,0.4280313654,0.3383010198,-0.4858259782,-0.2276546629,-0.38862127,-0.259385825,0.4687531512,0.006189453208,0.01829251436,0.06746616321,0.006493948156,0.2263181063,0.03380854637,0.166306102,Maternal,14_hpf,5669.13,10.47607717,0.1552439754,0.07762198768,-0.3498620416,1.202245649,-0.6981843243,-0.6981843243
Montipora_capitata_HIv3___Scaffold_10_659884,Montipora_capitata_HIv3___RNAseq.g6847.t1,-0.7361247472,0.03732327294,0.1745406969,159,-21.44,2 20,770 793,18,72.22%,77.78%,yellow,0.1374886095,0.488284902,0.4280313654,0.3383010198,-0.4858259782,-0.2276546629,-0.38862127,-0.259385825,0.4687531512,0.006189453208,0.01829251436,0.06746616321,0.006493948156,0.2263181063,0.03380854637,0.166306102,Maternal,22_hpf,12610.72,9.277556022,0.1174181415,0.05870907076,-0.1980527091,0.5938232002,-0.8379981745,-0.8379981745
Montipora_capitata_HIv3___Scaffold_10_659884,Montipora_capitata_HIv3___RNAseq.g6847.t1,-0.7361247472,0.03732327294,0.1745406969,159,-21.44,2 20,770 793,18,72.22%,77.78%,yellow,0.1374886095,0.488284902,0.4280313654,0.3383010198,-0.4858259782,-0.2276546629,-0.38862127,-0.259385825,0.4687531512,0.006189453208,0.01829251436,0.06746616321,0.006493948156,0.2263181063,0.03380854637,0.166306102,Maternal,28_hpf,19774.43,9.612929523,0.2477775841,0.123888792,-0.04138571586,0.7640736517,-0.3561566991,-0.3561566991
